# FC 26 Best XI Solver — example squad
# Format: one player per line ->  Name, rating: POS POS   (name optional)

Pele, 93: CAM
Wright, 93: ST LM LW
Appollis, 92: LW LM
Provod, 92: CAM CM LM
Kolasinac, 92: CB
McKennie, 92: RM CDM CM CAM
Kahn, 91: GK
Ashurmatov, 91: CB RB CDM
David, 90: ST
Cahill, 89: ST CM CAM
Dempsey, 89: CAM ST LW
Nakata, 89: CAM CM
Chavez, 89: LB LM
Davies, 89: LB LM
Gabriel, 88: CB
Quinones, 87: ST LM LW
Kewell, 87: LW LM CAM
Park, 87: CAM RM CM LM
Sorloth, 86: ST RM RW
Llorente, 86: RB RM CM
Messi, 86: RW RM CAM ST
Pina, 86: LW LM ST
Calhanoglu, 86: CDM CM
